file name, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, gaze_angle_x, gaze_angle_y,sub,trial,sweep,label,frame
cropped_image_Sub01_Trial01_Sweep01_Label0_01.jpg,-0.025,-0.024,0.023,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.52,0.66,0.19,0.27,0.0,0.02,0.092,1,1,1,0,1
cropped_image_Sub01_Trial01_Sweep01_Label0_05.jpg,-0.016,-0.038,0.023,0.0,0.0,0.31,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.3,0.64,0.13,0.31,0.0,0.032,0.11,1,1,1,0,5
cropped_image_Sub01_Trial01_Sweep01_Label0_09.jpg,-0.023,-0.025,0.023,0.02,0.0,0.47,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.33,0.44,0.14,0.28,0.83,0.087,0.225,1,1,1,0,9
cropped_image_Sub01_Trial01_Sweep01_Label0_13.jpg,-0.032,-0.029,0.023,0.0,0.02,0.53,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.32,0.54,0.0,0.2,0.34,0.055,0.205,1,1,1,0,13
cropped_image_Sub01_Trial01_Sweep01_Label0_17.jpg,-0.015,-0.028,0.027,0.0,0.01,0.4,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.09,0.56,0.0,0.34,0.0,0.018,0.142,1,1,1,0,17
cropped_image_Sub01_Trial01_Sweep01_Label0_21.jpg,-0.02,-0.028,0.025,0.0,0.0,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.07,0.63,0.1,0.11,0.0,0.015,0.115,1,1,1,0,21
cropped_image_Sub01_Trial01_Sweep01_Label0_25.jpg,-0.024,-0.015,0.028,0.0,0.0,0.25,0.31,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.56,0.16,0.77,0.0,0.19,0.03,-0.014,0.126,1,1,1,0,25
cropped_image_Sub01_Trial01_Sweep01_Label3_01.jpg,-0.032,-0.04,0.026,0.01,0.0,0.43,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.28,0.51,0.0,0.07,0.0,0.06,0.117,1,1,1,3,1
cropped_image_Sub01_Trial01_Sweep01_Label3_05.jpg,-0.031,-0.04,0.026,0.0,0.0,0.41,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.42,0.28,0.34,0.0,0.06,0.0,0.038,0.108,1,1,1,3,5
cropped_image_Sub01_Trial01_Sweep01_Label3_09.jpg,-0.034,-0.039,0.027,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.13,0.35,0.0,0.0,0.0,0.052,0.113,1,1,1,3,9
cropped_image_Sub01_Trial01_Sweep01_Label3_13.jpg,-0.036,-0.035,0.028,0.0,0.0,0.57,0.08,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.24,0.05,0.31,0.12,0.1,0.0,0.026,0.107,1,1,1,3,13
cropped_image_Sub01_Trial01_Sweep01_Label3_17.jpg,-0.04,-0.034,0.032,0.0,0.0,0.46,0.09,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.35,0.22,0.39,0.03,0.0,0.02,0.044,0.115,1,1,1,3,17
cropped_image_Sub01_Trial01_Sweep01_Label3_21.jpg,-0.039,-0.031,0.028,0.0,0.0,0.53,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.04,0.3,0.09,0.07,0.01,0.034,0.096,1,1,1,3,21
cropped_image_Sub01_Trial01_Sweep01_Label3_25.jpg,-0.032,-0.041,0.031,0.0,0.0,0.52,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.12,0.34,0.03,0.0,0.01,0.038,0.125,1,1,1,3,25
cropped_image_Sub01_Trial01_Sweep02_Label0_01.jpg,-0.086,-0.029,0.015,0.24,0.05,0.54,0.1,0.0,0.02,0.04,0.07,0.0,0.05,0.0,0.1,0.46,0.52,0.03,0.04,0.07,0.055,0.232,1,1,2,0,1
cropped_image_Sub01_Trial01_Sweep02_Label0_05.jpg,-0.093,-0.027,0.013,0.33,0.21,0.43,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.57,0.01,0.21,0.0,0.049,0.124,1,1,2,0,5
cropped_image_Sub01_Trial01_Sweep02_Label0_09.jpg,-0.079,-0.031,0.011,0.12,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.3,0.31,0.01,0.12,0.06,0.075,0.105,1,1,2,0,9
cropped_image_Sub01_Trial01_Sweep02_Label0_13.jpg,-0.072,-0.036,0.01,0.23,0.16,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.3,0.37,0.0,0.05,0.07,0.075,0.111,1,1,2,0,13
cropped_image_Sub01_Trial01_Sweep02_Label0_16.jpg,-0.062,-0.046,0.011,0.31,0.19,0.6,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.45,0.37,0.02,0.15,0.49,0.135,0.141,1,1,2,0,16
cropped_image_Sub01_Trial01_Sweep02_Label0_20.jpg,-0.063,-0.034,0.015,0.08,0.03,0.42,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.14,0.41,0.03,0.18,0.0,0.045,0.141,1,1,2,0,20
cropped_image_Sub01_Trial01_Sweep02_Label0_24.jpg,-0.076,-0.032,0.014,0.06,0.04,0.49,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.36,0.46,0.0,0.1,0.02,0.051,0.106,1,1,2,0,24
cropped_image_Sub01_Trial01_Sweep02_Label1_01.jpg,-0.06,-0.032,0.012,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.4,0.33,0.03,0.15,0.03,0.032,0.106,1,1,2,1,1
cropped_image_Sub01_Trial01_Sweep02_Label1_05.jpg,-0.06,-0.028,0.011,0.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.22,0.3,0.0,0.2,0.0,0.047,0.103,1,1,2,1,5
cropped_image_Sub01_Trial01_Sweep02_Label1_09.jpg,-0.058,-0.033,0.011,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.29,0.12,0.25,0.07,0.044,0.109,1,1,2,1,9
cropped_image_Sub01_Trial01_Sweep02_Label1_13.jpg,-0.065,-0.029,0.013,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.21,0.42,0.04,0.33,0.03,0.045,0.096,1,1,2,1,13
cropped_image_Sub01_Trial01_Sweep02_Label1_16.jpg,-0.064,-0.03,0.014,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08,0.37,0.01,0.33,0.0,0.032,0.094,1,1,2,1,16
